Ref,studysite,Case,Lon,Lat,Soil.layer,Climate_Name,Control,Var,yi,vi,se,Agenumber,Recovery.mode,MAT,MAP,Altitude,BD,pH,Sand,Silt,Clay,Vege,Purpose,biome
10,2,99,109.229375,36.778375,subsoil,Arid,Cropland,LI,2.367167877,0.006666666,0.081649656,25,artificial,8.8,510,1257,1.4,8,10.4,73.1,16.5,broadleaved,RobiniaP,3
10,2,100,109.229375,36.778375,subsoil,Arid,Cropland,LI,1.342075842,0.006666667,0.081649658,25,artificial,8.8,510,1257,1.4,8,10.4,73.1,16.5,broadleaved,RobiniaP,3
10,2,101,109.229375,36.778375,subsoil,Arid,Cropland,LI,1.491354445,0.006666667,0.081649658,25,artificial,8.8,510,1257,1.4,8,10.4,73.1,16.5,broadleaved,RobiniaP,3
10,2,102,109.229375,36.778375,subsoil,Arid,Cropland,LI,1.446040139,0.006666667,0.081649659,25,artificial,8.8,510,1257,1.4,8,10.4,73.1,16.5,broadleaved,RobiniaP,3
10,3,103,109.229375,36.778375,topsoil,Arid,Cropland,LI,3.104620352,0.006666667,0.081649659,39,artificial,8.8,510,1258,1.4,7.9,13.9,73.7,12.4,broadleaved,RobiniaP,3
10,3,104,109.229375,36.778375,topsoil,Arid,Cropland,LI,3.851979281,0.006666667,0.081649658,39,artificial,8.8,510,1258,1.4,7.9,13.9,73.7,12.4,broadleaved,RobiniaP,3
10,3,105,109.229375,36.778375,subsoil,Arid,Cropland,LI,3.091260342,0.006666666,0.081649656,39,artificial,8.8,510,1258,1.4,7.9,13.9,73.7,12.4,broadleaved,RobiniaP,3
10,3,106,109.229375,36.778375,subsoil,Arid,Cropland,LI,1.892886767,0.006666667,0.081649658,39,artificial,8.8,510,1258,1.4,7.9,13.9,73.7,12.4,broadleaved,RobiniaP,3
10,3,107,109.229375,36.778375,subsoil,Arid,Cropland,LI,2.241315191,0.006666667,0.081649658,39,artificial,8.8,510,1258,1.4,7.9,13.9,73.7,12.4,broadleaved,RobiniaP,3
10,3,108,109.229375,36.778375,subsoil,Arid,Cropland,LI,1.756077912,0.006666667,0.081649659,39,artificial,8.8,510,1258,1.4,7.9,13.9,73.7,12.4,broadleaved,RobiniaP,3
10,1,163,109.229375,36.778375,topsoil,Arid,Cropland,LI,-0.620565359,0.006666667,0.081649658,13,artificial,8.8,510,1254,1.3,8.1,9.7,82.2,8.1,broadleaved,environmentaltree,3
10,2,164,109.229375,36.778375,topsoil,Arid,Cropland,LI,-0.560008266,0.006666667,0.081649658,28,artificial,8.8,510,1275,1.3,8.1,10.8,75.6,13.6,broadleaved,environmentaltree,3
10,3,165,109.229375,36.778375,topsoil,Arid,Cropland,LI,-0.692780658,0.006666667,0.081649658,38,artificial,8.8,510,1279,1.2,8.1,10.7,78.4,10.9,broadleaved,environmentaltree,3
10,1,166,109.229375,36.778375,topsoil,Arid,Cropland,LI,-0.694555403,0.006666667,0.081649658,13,artificial,8.8,510,1245,1.3,8.2,"8,9",81.2,12.3,broadleaved,RobiniaP,3
10,2,167,109.229375,36.778375,topsoil,Arid,Cropland,LI,-0.596536441,0.006666667,0.081649658,25,artificial,8.8,510,1257,1.4,8,10.4,73.1,16.5,broadleaved,RobiniaP,3
10,3,168,109.229375,36.778375,topsoil,Arid,Cropland,LI,-1.055416726,0.006666667,0.081649658,39,artificial,8.8,510,1258,1.4,7.9,13.9,73.7,12.4,broadleaved,RobiniaP,3
10,1,169,109.229375,36.778375,topsoil,Arid,Cropland,LI,-1.022749315,0.006666667,0.081649658,13,artificial,8.8,510,1254,1.3,8.1,9.7,82.2,8.1,broadleaved,environmentaltree,3
11,1,1,109.229375,36.778375,topsoil,Arid,Cropland,LI,-0.36194199,0.006666667,0.081649658,5,artificial,8.8,505.3,1198,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
11,2,5,109.229375,36.778375,topsoil,Arid,Cropland,LI,-0.257804408,0.006666667,0.081649658,10,artificial,8.8,505.3,1171,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
11,3,8,109.229375,36.778375,topsoil,Arid,Cropland,LI,-0.440910247,0.006666667,0.081649658,15,artificial,8.8,505.3,1150,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
11,4,11,109.229375,36.778375,topsoil,Arid,Cropland,LI,-0.35832915,0.006666667,0.081649658,20,artificial,8.8,505.3,1029,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
11,5,14,109.229375,36.778375,topsoil,Arid,Cropland,LI,-0.15575659,0.006666667,0.081649658,25,artificial,8.8,505.3,1249,1.256669998,8.366670227,35.06786346,37.90490112,16.52649994,broadleaved,RobiniaP,3
