id,facet,Group1,Landuse,group,number,OR,Lower,Upper
3,0-30cm,Sensitivity,Natural,Pine,150,-17.18,-31.35,-0.09
4,30+cm,Active,Natural,Pine,115,-29.92,-49.66,-2.45
4,30+cm,Passive,Natural,Pine,38,-30.56,-50.98,-1.63
4,30+cm,SOC,Natural,Pine,14,-31.77,-53.29,-0.34
4,30+cm,Sensitivity,Natural,Pine,33,-1.96,-18.97,18.63
3,0-30cm,Active,Natural,Treecrop,214,-26.9,-39.97,-10.99
3,0-30cm,Passive,Natural,Treecrop,47,-25.13,-40.39,-5.97
3,0-30cm,SOC,Natural,Treecrop,53,-20.46,-36.48,-0.39
3,0-30cm,Sensitivity,Natural,Treecrop,42,-10.72,-26.56,8.54
4,30+cm,Active,Natural,Treecrop,87,-16.37,-35.69,8.75
4,30+cm,Passive,Natural,Treecrop,31,-8.69,-32.12,22.82
4,30+cm,SOC,Natural,Treecrop,28,-11.49,-34.25,19.14
4,30+cm,Sensitivity,Natural,Treecrop,30,3.07,-15.5,25.72
