Soil.layer,Landuse,SOC_yi,SOC_vi,LI_yi,LI_vi
subsoil,Cropland,9.791559879,0.960552575,66.86023135,0.668893869
subsoil,Cropland,13.68327326,0.769325417,60.37796585,0.668893869
subsoil,Cropland,12.76503459,0.951078478,52.26779776,0.668893869
subsoil,Cropland,14.03439928,1.150345061,33.66999318,0.668893869
topsoil,Cropland,94.04766795,0.424957796,281.1891421,0.668893869
topsoil,Cropland,90.79578966,0.786044637,165.7730234,0.668893869
topsoil,Cropland,68.37502227,0.992679093,73.77554878,0.668893869
subsoil,Cropland,45.92471018,1.023533029,99.89734044,0.668893869
subsoil,Cropland,25.39263633,0.915015504,185.3704435,0.668893869
subsoil,Cropland,20.42018665,0.976948992,169.7648474,0.668893869
subsoil,Cropland,15.91088394,1.107746373,92.69548578,0.668893869
subsoil,Cropland,19.25877321,1.427943183,81.07665139,0.668893869
subsoil,Cropland,19.6587382,1.136697361,62.07093487,0.668893869
subsoil,Cropland,20.01237986,1.253385148,41.55126411,0.668893869
topsoil,Abandoned,25.14445599,0.251943044,38.51011369,0.668893869
topsoil,Abandoned,27.17733512,1.068772098,22.18328324,0.668893869
topsoil,Abandoned,21.74317087,1.162745437,15.99575296,0.668893869
subsoil,Abandoned,10.38702801,1.277441557,27.87794432,0.668893869
subsoil,Abandoned,8.933956834,1.457403555,17.00699894,0.668893869
subsoil,Abandoned,7.890682129,1.518661019,23.89284874,0.668893869
subsoil,Abandoned,7.148076468,0.300059279,44.6525121,0.668893869
subsoil,Abandoned,7.941060818,0.439365593,15.1140881,0.668893869
subsoil,Abandoned,7.812398846,0.360962004,1.633193147,0.668893869
subsoil,Abandoned,9.850515984,0.753355752,28.02506986,0.668893869
topsoil,Abandoned,68.88065972,0.199975485,127.5163202,0.668893869
topsoil,Abandoned,69.90058927,0.964017399,43.72673441,0.668893869
topsoil,Abandoned,51.04467666,1.067530476,25.85006084,0.668893869
subsoil,Abandoned,37.58510526,0.774729519,89.63953822,0.668893869
subsoil,Abandoned,20.31989999,1.150581146,108.4512431,0.668893869
subsoil,Abandoned,15.6915064,1.570638475,110.2778535,0.668893869
subsoil,Abandoned,13.12006378,0.446290121,67.04930744,0.668893869
subsoil,Abandoned,13.23493871,1.095826775,29.97093155,0.668893869
subsoil,Abandoned,14.40333127,0.54549584,8.166335516,0.668893869
subsoil,Abandoned,15.60916637,0.855991332,35.57351238,0.668893869
topsoil,Wetland,-28.85185411,0.097348353,1.219059084,0.400801068
topsoil,Wetland,-39.82419183,0.128589606,43.55462216,0.400800967
subsoil,Wetland,-36.37943164,0.189955788,21.35186223,0.400801469
topsoil,Wetland,-28.85185411,0.097348353,19.1903382,0.400801068
topsoil,Wetland,-39.82419183,0.128589606,29.26229066,0.400801068
subsoil,Wetland,-36.37943164,0.189955788,17.32940943,0.400801068
topsoil,Wetland,-28.85185411,0.097348353,29.39336349,0.400801068
topsoil,Wetland,-39.82419183,0.128589606,48.82307361,0.400801068
subsoil,Wetland,-36.37943164,0.189955788,27.00604859,0.400801168
topsoil,Abandoned,-53.6983109,0.971833831,-42.43130715,0.400801269
topsoil,Abandoned,-44.24565141,1.592063505,-34.80753062,0.400801068
subsoil,Abandoned,-47.16368212,1.293021251,-43.65570444,0.400801269
topsoil,Abandoned,-53.6983109,0.971833831,-43.35538832,0.400801068
topsoil,Abandoned,-44.24565141,1.592063505,-12.95059831,0.400801068
subsoil,Abandoned,-47.16368212,1.293021251,-28.42197382,0.400801068
topsoil,Abandoned,-53.6983109,0.971833831,-43.35538832,0.400801068
topsoil,Abandoned,-44.24565141,1.592063505,-12.95059831,0.400801068
subsoil,Abandoned,-47.16368212,1.293021251,-28.42197382,0.400801068
topsoil,Cropland,41.01274015,0.471037611,-2.469008797,0.400801168
topsoil,Cropland,59.87630172,0.741385554,-4.905590153,0.400800967
subsoil,Cropland,173.2927547,4.17120817,-30.76823944,0.400801469
topsoil,Cropland,41.01274015,0.471037611,96.70557939,0.400801068
