Var,number,estimate,ci.lb,ci.ub,filename
SOC,217,-0.219475937556641,-0.335056495432784,-0.103895379680499,Natural1.csv
active,381,-0.405031376823424,-0.615496568328055,-0.194566185318793,Natural1.csv
passive,117,-0.382134853628854,-0.593813589204973,-0.170456118052736,Natural1.csv
SOC,61,-0.300160001852396,-0.523271179198101,-0.0770488245066912,Natural1.csv
active,38,-0.701926700898471,-1.43652586907424,0.0326724672773027,Natural2.csv
passive,19,-0.581314234654349,-1.32590892513288,0.163280455824179,Natural2.csv
SOC,18,-0.580217702796469,-1.32877736818475,0.168341962591814,Natural2.csv
active,6,-0.143605924792497,-1.1594775595167,0.872265709931707,Natural2.csv
passive,7,0.330212308937372,-0.684169171640519,1.34459378951526,Natural2.csv
SOC,10,0.277503123255166,-0.730334322104794,1.28534056861512,Natural2.csv
active,476,-0.321059104967165,-0.451632297241351,-0.190485912692979,Natural3.csv
passive,177,-0.407636730449916,-0.542823548950752,-0.272449911949079,Natural3.csv
SOC,140,-0.244109010370124,-0.37931030641823,-0.108907714322018,Natural3.csv
active,114,-0.169270873898879,-0.370224157607636,0.0316824098098772,Natural3.csv
passive,50,-0.153075761043191,-0.381071466644112,0.0749199445577299,Natural3.csv
SOC,28,-0.166774568559905,-0.424263100976821,0.0907139638570098,Natural3.csv
active,47,-0.361787955229726,-0.639094987826167,-0.0844809226332847,Natural4.csv
passive,8,1.0439679517467,0.547051995367942,1.54088390812545,Natural4.csv
SOC,17,0.0703573252629631,-0.284689532900859,0.425404183426785,Natural4.csv
active,227,-0.498116877393185,-0.670770184655396,-0.325463570130974,Natural5.csv
passive,78,-0.14687843561788,-0.355540975402667,0.061784104166908,Natural5.csv
SOC,76,-0.337946757759809,-0.54181352665591,-0.134079988863709,Natural5.csv
active,80,-0.228059271134922,-0.509693869531243,0.0535753272613979,Natural5.csv
passive,19,-0.296523550564879,-0.664771650965407,0.0717245498356487,Natural5.csv
SOC,30,-0.279355389395186,-0.613362792238359,0.0546520134479865,Natural5.csv
active,57,-0.859565467634851,-1.57843035944452,-0.140700575825179,Natural6.csv
passive,36,-0.604649820131208,-1.36222501450894,0.152925374246519,Natural6.csv
SOC,10,-0.695555742365174,-1.50369905745493,0.112587572724577,Natural6.csv
